disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,id,hash,lastRefresh
5528,2024-08-06T00:00:00.000Z,ELK LANE FIRE,2024-08-04T00:00:00.000Z,,Fire Management,OR,Oregon                        ,Fire,2024-08-07T00:00:00.000Z,2024-08-07T00:00:00.000Z,,10,0,0,1,1,R,2024-08-06T00:00:00.000Z,b6d0d6f8-3dbe-4ed0-a777-678377bae623,49d6fa4f0254313500d8e31b0d30c16871d150c1,2024-10-09T19:01:58.075Z
3607,2024-08-05T00:00:00.000Z,HURRICANE DEBBY,2024-08-04T00:00:00.000Z,2024-08-20T00:00:00.000Z,Emergency,GA,Georgia                       ,Tropical Storm,2024-08-06T00:00:00.000Z,2024-08-26T00:00:00.000Z,,4,0,0,1,0,H,2024-08-05T00:00:00.000Z,fca6e250-37bd-4583-82e3-2ec0c9fd6081,0fc2eb13986b59e535df468bf6fb56fd78ad4ee3,2024-10-09T19:01:58.075Z
3606,2024-08-05T00:00:00.000Z,HURRICANE DEBBY,2024-08-04T00:00:00.000Z,2024-08-22T00:00:00.000Z,Emergency,SC,South Carolina                ,Tropical Storm,2024-08-05T00:00:00.000Z,2024-09-09T00:00:00.000Z,,4,0,0,1,0,"4,F,H",2024-08-04T00:00:00.000Z,c436475b-01ca-40ff-8e88-7d6884a421c7,129915d8a8502e052a5eca9738685990e8af6c28,2024-10-09T19:01:58.075Z
3605,2024-08-03T00:00:00.000Z,TROPICAL STORM DEBBY,2024-08-01T00:00:00.000Z,2024-08-27T00:00:00.000Z,Emergency,FL,Florida                       ,Tropical Storm,2024-08-04T00:00:00.000Z,2024-08-30T00:00:00.000Z,,4,0,0,1,0,"2,4,8,C,F,T,W",2024-08-03T00:00:00.000Z,5bc778fb-faa4-4507-b197-0086cfdb47b7,64cc58d5fb4bbf6d495f469feb0356e9d9fdb353,2024-10-09T19:01:58.075Z
5527,2024-08-02T00:00:00.000Z,MILE MARKER 132 FIRE,2024-08-02T00:00:00.000Z,,Fire Management,OR,Oregon                        ,Fire,2024-08-06T00:00:00.000Z,2024-08-06T00:00:00.000Z,,10,0,0,1,1,R,2024-08-02T00:00:00.000Z,bbe74720-0471-46dc-baf9-63b6ea243423,dc34300830bce574e2f644cec16dd14ab61b2db1,2024-10-09T19:01:58.075Z
5526,2024-08-01T00:00:00.000Z,QUARRY FIRE,2024-07-30T00:00:00.000Z,,Fire Management,CO,Colorado                      ,Fire,2024-08-02T00:00:00.000Z,2024-08-02T00:00:00.000Z,,8,0,0,1,1,R,2024-08-01T00:00:00.000Z,2462effc-d1ed-4b81-89c5-be828512decd,50318b7b2916329d5175f148b451415fb7163882,2024-10-09T19:01:58.075Z
5525,2024-07-31T00:00:00.000Z,STONE MOUNTAIN FIRE,2024-07-30T00:00:00.000Z,,Fire Management,CO,Colorado                      ,Fire,2024-08-02T00:00:00.000Z,2024-08-02T00:00:00.000Z,,8,0,0,1,1,R,2024-07-31T00:00:00.000Z,a45af3e4-22ed-457b-a672-6b79c3c62731,20aabe76544f8c6dbe0fea243ff0a032e1d4619a,2024-10-09T19:01:58.075Z
5524,2024-07-31T00:00:00.000Z,ALEXANDER MOUNTAIN FIRE,2024-07-29T00:00:00.000Z,,Fire Management,CO,Colorado                      ,Fire,2024-08-02T00:00:00.000Z,2024-08-02T00:00:00.000Z,,8,0,0,1,1,R,2024-07-31T00:00:00.000Z,e50db136-d593-488f-8294-a8d913efaebb,2fbab80e1d2b437f259cd886fb0b1fc5c12b16ba,2024-10-09T19:01:58.075Z
5523,2024-07-30T00:00:00.000Z,PLEASANT VALLEY FIRE,2024-07-30T00:00:00.000Z,,Fire Management,WY,Wyoming                       ,Fire,2024-07-31T00:00:00.000Z,2024-07-31T00:00:00.000Z,,8,0,0,1,1,R,2024-07-30T00:00:00.000Z,1144d6b8-bb00-4f15-a666-d60420d1342a,0f8adc656630a9884efc83c41489530ac3fab010,2024-10-09T19:01:58.075Z
5522,2024-07-27T00:00:00.000Z,BOREL FIRE,2024-07-25T00:00:00.000Z,,Fire Management,CA,California                    ,Fire,2024-07-31T00:00:00.000Z,2024-07-31T00:00:00.000Z,,9,0,0,1,1,R,2024-07-27T00:00:00.000Z,72c333a3-214c-487b-ab19-03f232ac70a5,a9077f9fa082ef6cbde7a745cc9ae40022beffa1,2024-10-09T19:01:58.075Z
5521,2024-07-26T00:00:00.000Z,RETREAT FIRE,2024-07-23T00:00:00.000Z,,Fire Management,WA,Washington                    ,Fire,2024-07-29T00:00:00.000Z,2024-07-29T00:00:00.000Z,,10,0,0,1,1,R,2024-07-25T00:00:00.000Z,6853d226-3b21-41a8-a53e-63fa5aed45da,e9bd1ea1a317f4ca570cecd877a96567c5cb9560,2024-10-09T19:01:58.075Z
5520,2024-07-26T00:00:00.000Z,GWEN FIRE,2024-07-25T00:00:00.000Z,,Fire Management,ID,Idaho                         ,Fire,2024-07-29T00:00:00.000Z,2024-07-29T00:00:00.000Z,,10,0,0,1,1,R,2024-07-25T00:00:00.000Z,507a23bd-f19e-481e-9908-a32bb290874c,94aca6d270ff05ee41b9291e891ba41d9b2aadf1,2024-10-09T19:01:58.075Z
