"","AMZN","COST","Date"
"298",11.31,80,"2011-10-10"
"299",11.12,79.31,"2011-10-07"
"300",11.01,79.81,"2011-10-06"
"301",10.63,80.99,"2011-10-05"
"302",10.48,80.67,"2011-10-04"
"303",10.85,81.72,"2011-10-03"
"304",10.91,82.38,"2011-09-30"
"305",11.71,84.98,"2011-09-29"
"306",11.32,84.59,"2011-09-28"
"307",11.71,85.61,"2011-09-27"
"308",11.37,83.8,"2011-09-26"
"309",11.03,82.7,"2011-09-23"
"310",11.24,82.73,"2011-09-22"
"311",11.73,85.07,"2011-09-21"
"312",12.04,85.15,"2011-09-20"
"313",11.86,83.54,"2011-09-19"
"314",11.38,83.26,"2011-09-16"
"315",11.2,82.89,"2011-09-15"
"316",11.01,80.94,"2011-09-14"
"317",10.89,80.07,"2011-09-13"
"318",10.44,78.03,"2011-09-12"
"319",10.75,79.95,"2011-09-09"
"320",10.91,80.29,"2011-09-08"
"321",10.94,79.27,"2011-09-07"
"322",10.24,77.03,"2011-09-06"
"323",10.45,78.23,"2011-09-02"
"324",10.76,78.98,"2011-09-01"
"325",10.61,78.24,"2011-08-31"
"326",10.29,77.6,"2011-08-30"
"327",10.14,77.86,"2011-08-29"
"328",9.56,75.78,"2011-08-26"
"329",9.72,77.77,"2011-08-25"
"330",9.69,76.22,"2011-08-24"
"331",8.95,74.59,"2011-08-23"
"332",9.14,75.97,"2011-08-22"
"333",9.01,73.4,"2011-08-19"
"334",9.56,74.52,"2011-08-18"
"335",9.93,75.62,"2011-08-17"
"336",10.06,73.93,"2011-08-16"
"337",10.1,73.17,"2011-08-15"
"338",10.01,73.02,"2011-08-12"
"339",9.85,70.6,"2011-08-11"
"340",10.04,72.97,"2011-08-10"
"341",9.84,71.62,"2011-08-09"
"342",9.82,75.6,"2011-08-08"
"343",10.23,77.45,"2011-08-05"
"344",10.34,76.11,"2011-08-04"
"345",10.65,75.93,"2011-08-03"
"346",11.02,77.3,"2011-08-02"
"347",11.25,79.32,"2011-08-01"
"348",11.06,77.5,"2011-07-29"
"349",11.16,78.39,"2011-07-28"
"350",11.22,80.06,"2011-07-27"
"351",10.75,80.96,"2011-07-26"
"352",10.77,81.2,"2011-07-25"
"353",10.69,81.67,"2011-07-22"
"354",10.84,80.87,"2011-07-21"
"355",11,80.82,"2011-07-20"
"356",10.69,79.76,"2011-07-19"
"357",10.63,79.53,"2011-07-18"
"358",10.65,80.36,"2011-07-15"
"359",10.68,80.87,"2011-07-14"
"360",10.73,80.99,"2011-07-13"
"361",10.73,80.89,"2011-07-12"
"362",10.84,80.68,"2011-07-11"
"363",10.72,81.59,"2011-07-08"
"364",10.75,83.2,"2011-07-07"
