Date,Open,High,Low,Close,Adj Close,Volume
"Jul 11, 2012",93.88,94.72,93.75,94.5,69.64,"2,074,100"
"Jul 10, 2012",94.47,94.75,93.65,93.8,69.13,"1,867,600"
"Jul 9, 2012",94,94.34,93.18,93.97,69.25,"1,511,300"
"Jul 6, 2012",94.06,94.7,93.46,93.68,69.04,"1,722,000"
"Jul 5, 2012",93.46,94.53,93.44,94,69.27,"1,902,200"
"Jul 3, 2012",94.51,94.62,94.1,94.42,69.58,"1,120,600"
"Jul 2, 2012",95,95.55,94.23,94.4,69.57,"2,279,300"
"Jun 29, 2012",93.51,95.11,93.43,95,70.01,"3,438,000"
"Jun 28, 2012",90.83,93,89.91,92.92,68.48,"4,408,300"
"Jun 27, 2012",91.98,92.21,91,91.32,67.3,"2,087,600"
"Jun 26, 2012",91.15,91.79,90.7,91.69,67.57,"2,600,100"
"Jun 25, 2012",90.75,91.25,90.39,90.87,66.97,"1,592,600"
"Jun 22, 2012",90.79,91.29,90.42,90.93,67.01,"1,539,800"
"Jun 21, 2012",91.5,92.35,90.28,90.4,66.62,"2,631,700"
"Jun 20, 2012",91.68,91.93,90.87,91.49,67.42,"1,929,900"
"Jun 19, 2012",91.93,92.67,91.44,91.86,67.7,"1,821,400"
"Jun 18, 2012",91.37,92.09,91.01,92.03,67.82,"1,570,900"
"Jun 15, 2012",90.35,91.64,90.09,91.44,67.39,"3,911,800"
"Jun 14, 2012",87.85,90.08,87.81,89.83,66.2,"3,117,300"
"Jun 13, 2012",88.11,88.41,87.25,87.43,64.43,"1,405,000"
"Jun 12, 2012",88.24,88.56,87.58,88.5,65.22,"1,822,500"
"Jun 11, 2012",89.06,89.15,87.84,87.91,64.79,"1,569,500"
"Jun 8, 2012",88.01,89.2,87.7,88.74,65.4,"1,888,800"
"Jun 7, 2012",88.05,88.7,87.95,88.13,64.95,"1,909,700"
"Jun 6, 2012",86.99,87.83,86.88,87.78,64.69,"2,187,100"
"Jun 5, 2012",86.29,86.96,85.74,86.77,63.95,"2,143,800"
"Jun 4, 2012",85.44,86.6,85.37,86.56,63.79,"2,404,300"
"Jun 1, 2012",86,86.16,85.17,85.49,63,"3,096,100"
"May 31, 2012",85.59,87.05,85.58,86.39,63.67,"3,564,700"
"May 30, 2012",85.9,86.43,85.77,85.81,63.24,"3,111,900"
"May 29, 2012",85.11,86.68,85.08,86.64,63.85,"3,151,400"
"May 25, 2012",84.9,85.07,84,84.48,62.26,"2,379,600"
"May 24, 2012",84.25,85.27,83.48,84.48,62.26,"3,558,300"
"May 23, 2012",82.98,83.36,82.26,83.31,61.4,"2,915,900"
"May 22, 2012",83.47,84.26,83.01,83.38,61.25,"2,244,800"
"May 21, 2012",83.19,83.88,82.75,83.73,61.5,"1,598,800"
"May 18, 2012",83.7,84.19,82.66,82.94,60.92,"3,152,700"
"May 17, 2012",84.86,85.21,83.47,83.47,61.31,"2,022,500"
"May 16, 2012",84.88,85.26,84.57,84.91,62.37,"2,149,600"
"May 15, 2012",84.1,85.14,84.08,84.58,62.13,"2,165,200"
"May 14, 2012",84.26,84.72,83.76,84.3,61.92,"1,656,500"
"May 11, 2012",83.84,85.05,83.7,84.6,62.14,"2,863,800"
"May 10, 2012",83.4,84.36,83.11,83.88,61.61,"2,600,000"
"May 9, 2012",82.22,83.1,82.1,82.62,60.69,"2,416,000"
"May 8, 2012",83.02,83.32,81.98,82.64,60.7,"2,609,500"
"May 7, 2012",83.38,83.74,83,83.15,61.08,"2,042,900"
"May 4, 2012",84.21,84.43,83.32,83.39,61.25,"2,796,800"
"May 3, 2012",85.86,85.94,83.94,84.24,61.88,"4,696,600"
"May 2, 2012",86.89,86.95,86.24,86.64,63.64,"2,432,800"
"May 1, 2012",86.91,88,86.38,86.97,63.88,"2,970,500"
"Apr 30, 2012",88.7,89,88.13,88.18,64.77,"1,790,700"
"Apr 27, 2012",88.39,89.22,88.14,88.69,65.15,"1,597,500"
"Apr 26, 2012",87.26,88.46,87,88.08,64.7,"2,443,100"
"Apr 25, 2012",86.77,87.45,86.52,87.28,64.11,"2,301,900"
"Apr 24, 2012",86.81,87.2,86.22,86.43,63.49,"1,796,800"
"Apr 23, 2012",87.22,87.3,86.39,86.62,63.63,"1,712,500"
"Apr 20, 2012",87.38,88.07,87.26,87.58,64.33,"2,203,100"
"Apr 19, 2012",87.94,87.94,86.69,87.12,63.99,"1,762,800"
"Apr 18, 2012",87.3,88.49,87.19,88.07,64.69,"1,620,100"
"Apr 17, 2012",87.17,87.86,87.14,87.67,64.4,"1,732,900"
"Apr 16, 2012",86.66,87.12,86.3,86.88,63.82,"1,956,700"
"Apr 13, 2012",86.91,87.14,86.03,86.32,63.4,"2,737,800"
"Apr 12, 2012",87.51,87.56,86.95,87.18,64.04,"2,509,800"
"Apr 11, 2012",87.5,87.59,87.06,87.32,64.14,"1,912,600"
"Apr 10, 2012",87.54,87.59,86.37,86.89,63.82,"2,812,100"
"Apr 9, 2012",87.68,88.14,87.03,87.88,64.55,"1,817,700"
"Apr 5, 2012",87.41,88.87,87.4,88.65,65.12,"2,752,600"
"Apr 4, 2012",90.14,90.5,88.97,89.04,65.4,"2,529,400"
"Apr 3, 2012",91.45,91.76,90.01,90.39,66.39,"2,823,000"
"Apr 2, 2012",90.94,92.1,90.83,91.84,67.46,"2,705,100"
"Mar 30, 2012",90.04,91.15,90.01,90.8,66.7,"2,556,600"
"Mar 29, 2012",90.16,90.72,89.33,89.84,65.99,"2,245,600"
"Mar 28, 2012",91.24,91.49,90.13,90.62,66.56,"1,609,000"
"Mar 27, 2012",91.53,91.78,90.97,91.28,67.05,"1,310,700"
"Mar 26, 2012",90.63,91.53,90.38,91.52,67.22,"1,884,800"
"Mar 23, 2012",90.49,90.63,89.83,90.27,66.31,"1,601,400"
